idx,tweets,labels
591974595525128195,"#NepalEarthquake India sends 39 #NDRF team, 2 dogs and 3 tonnes equipment to Nepal Army for rescue operations: Indian Embassy in #Nepal","[0, 5]"
591974898139987968,"#SriLanka to fly emergency medical help, food to #earthquake -struck #Nepal #lka #Economynext http://t.co/t6F2RXD4tj http://t.co/WMCykXRac0",[0]
591975888494854145,"Haryana govt to airlift 20,000 food packets tomorrow to Nepal#Hry  @Prabhuchawla   @Newindianxpress",[0]
591976009823428608,If you want to help w #Nepal #earthquake donate to #RedCross Blood Donations also needed- http://t.co/JRyBbWmFQq,[3]
591976580232052736,Amount of supplies may be used for more than 7 days. Mobile Hospital is equipped to even perform a surgery. #earthquake #Nepal #Kathmandu,"[0, 2, 4]"
591977124778545152,"#NepalEarthquake | #India hands 39 #NDRF team, 2 dogs and 3 tonnes equipment to Nepal Army for rescue operations: Indian Embassy in #Nepal",[5]
591977781749223424,"Helpline:

Ambulance and Police Emergency Helpline numbers in Nepal (country code:0977)

Name

Telephone Numbers... http://t.co/XWGu6kq9dF",[2]
591978159102435328,"         Hospital, Fire Brigade and Blood Banks

Name

Telephone Numbers

Nepal Eye Bank

4493684

Nepal Eye... http://t.co/wx8zMzprOP",[2]
591978910713139202,"Just electricity is available at Shankhamul area, people are staying outside. #Kathmandu. #Nepal #earthquake","[0, 4, 6]"
591979126350741505,India has sent 2 #NDRF team to nepal for relief work which include doctor army sniffer dogs and medicine  #NepalEarthquake,"[2, 5]"
591979747296485376,@MSF_Ind is sending medical and non medical staff to #Nepal to aid those affected by the #earthquake and to assess medical needs,[2]
591983557666414592,"39 NDRF team from India, 2 dogs and 3 tonnes equipment handed over to Nepal Army for rescue operations: Indian Embassy in Nepal",[5]
591984141773639680,RT @SushmaSwaraj : My colleague @PiyushGoyal has offered to send engineers and equipment to restore the power grids in Nepal.,[0]
591985786880327682,"RightWingers of ALL religions must keep away from Nepal. The survivors, do not need your bullshit. They need,food,water,medicines&amp;shelter",[1]
591986194893901824,"PM Modi orders immediate dispatch of relief and medical teams to Nepal, directs evacuation of Indian tourists | PTI http://t.co/0rYc8FSDk3",[2]
591986294554632192,#India to setup Field Hospital in #Nepal by tomorrow morning to provide medical facilities #NepalEarthquake @upma23 @NeelakshiGswm @DrShobha,[2]
591986490038558722,"@Peaceful_intent 
Medicare National Hospital - Ambulance 4467067
Nepal Orthopaedic Hospital 4493725","[2, 4]"
591986527355338752,"@Peaceful_intent 
Kathmandu Medical College 4476152
Nepal Medical College (Teaching Hospital - Jorpati) 4486008",[2]
591987020924260354,"Walked all arnd central &amp; old KTM.Shops out of bottled water,ph. recharge cards,dry food stock low.Grid off in many parts:@kashishds #Nepal",[1]
591987578498232321,Around 150 tonnes of equipment to be flown to Kathmandu by tonight as India launches relief ops to quake hit Nepal.,"[0, 4]"
591988336090173440,"Food, First Aid &amp; Tents, would be the principal needs of those displaced by the earthquake. @temsutulaimsong @shaileshkpandey @hchaturv",[1]
591989264256106499,@canvassss @skyasesh @YouthForBlood they are in search of blood donors for the people who are injured in earthquake... help them #UniteNepal,[1]
591990204983971840,"""#IndianAirForce/Army already helping wid relief,food,medicines, &amp;amp; all calls 2 Nepal subsided #NepalEarthquake http://t.co/lyeO88RY60""",[0]
591991005248782336,"Swift relief material reach,Call to Nepal Vl b charged as local call.250 Indians airlifted fr Khatmandu.Medical Team on d way.Govt tht works","[0, 5]"
591991020142792704,Contact Youth for Blood if in need of blood in Nepal #NepalEarthquake #NepalQuake #PrayForNepal http://t.co/WHs7HcrhyG,[2]
591991403783159808,"Breaking: Ind Army C130  taken off to Nepal with foods, water, NDRF team, Doctors.. Nurse @vaidehisachin @SachinKalbag @KiranKS #earthquake","[0, 2, 5]"
591991666526957568,Constant touch wid Govts. of UP Bihar n W.Bengal. Under control. No need for panic. 10 NDRF teams being mobilised for Nepal and 7 on standby,[0]
591992777736499200,"Rescue operations are on
4 more flights to be sent to Nepal with ready food &amp; medicines
Sniffer Dogs are flown http://t.co/Pj2m1VHT3e",[0]
591992896485597184,@PMOIndia 1 Lac Rail Neer bottles is not what Nepal needs. It needs 1 Crore liters of drinking water.,[1]
591993859736870912,Indian railway send one lakh of water bottle to Nepal it will reach today night. Bsnl and mtnl take only national charges from ind 2 nep,[0]
591994540166250497,"39 NDRF team from India, 2 dogs, 3 tonnes equipment handed over to Nepal Army for rescue ops | Indian Embassy in KTM #NepalEarthquake","[0, 5]"
591995052169105408,@adgpi @BDUTT  Need more resources and personnel from Army for restoring Power / Bridges / Roads and to have substantial presence in Nepal,"[1, 6]"
591995512171024387,Israeli MFA director general: Israel will send humanitarian aid to Nepal and will establish a field hospital in Katmandu,[2]
591995887360057345,"Indian Teams Land in Nepal to Help With Quake Relief India is sending disaster-response teams, medical aid and... http://t.co/wSdpM9bZEJ",[5]
591996367784026113,@HuffingtonPost donations pour in for this while people in Nepal sleep outdoors with no water or blankets #ashamedtobehuman,[1]
591996373869826048,India could surely despatch 3-4 Field Ambulance Units to Nepal. They need us now.,[1]
591997966010855424,.@MSF sending teams &amp; 3000 kits of non-food items and medical kits to those affected by the #earthquake in #Nepal,"[0, 2, 5]"
591999286679769090,@kushanmitra Big medical team has left for Nepal. Should have hospitals set up by tomorrow. Maybe preempt that fate for many,[2]
591999421975396352,"Pakistan Army/PAF Did Great Job!In very Short Time sending Medicine,Blankets,Tents,30 Bed Hospital &amp; Doctors 2 Nepal! http://t.co/xf8DSYwmFu","[0, 2, 5]"
591999588766228482,Exclusive News (Haryana government will send food package and blankets in nepal 12301485) has been published on... http://t.co/WLDx06duOa,"[0, 5]"
591999611184680961,Haryana government will send food package and blankets in nepal 12301485 http://t.co/hAiN2bMSQ3,"[0, 5]"
592000050017882112,25-bed hospital will be set up by tonight by NDRF and will be operational by dawn. #NepalEarthquake #earthquake #nepal,[5]
592000290921918464,We're currently sending 4 medical &amp; non-medical teams to Nepal to aid those affected by the #NepalEarthquake. http://t.co/1XzWh0qv9x,"[0, 2]"
592001500198490112,"#IAF's 2nd ""rapid aero medical team"" (aerial mobile hospital) will depart from Hindon Air Base for Kathmandu, #Nepal at midnight #earthquake",[2]
592001984951029760,"UP govt to send relief material in 21 trucks to quake-hit Nepal,comprising 10 trucks mineral water,10 trucks biscuits and 1 truck medicines","[0, 5]"
592003335454076929,Brilliant gesture and planning 1lac neer water bottles will be sent to nepal by ind rail @RailMinIndia @sureshpprabhu #NepalEarthquake,[0]
592003933238759424,Sometimes beauracracy &amp; political management needs to be credited too ! 4 lac Lt of water thru Railways on the way to Nepal #IndiaWithNepal,[0]
592004040961069057,Daily 1 lakh water bottle to be send to Nepal from India. #RailNeer #IndianRailwayWithNepal #IndiaWithNepal,"[0, 5]"
592004392091406336,"""@gauravcsawant: IAF C-130 Hercules on stand by. Team of doctors, NDRF, JCBs, food, water, medicines being put together to send to Nepal.""","[0, 2]"
592005202816827392,@nepalnews we are sending 4 medical and non-medical teams as well as 3000 kits of non-food items and medical kits to Nepal from Bihar State,"[0, 2, 5]"
592005225709461505,"First IAF Aircraft leaves Hindon Airbase with relief equipment for Nepal.
#IndiawithNepal",[0]
592006342212063232,@BisleriZone Plz provide water in Nepal,[1]
592008765039247360,"Indian railways sends 4 lakh litres of water and Air India operating flights to Nepal free of cost. 
#IndiaWithNepal",[0]
592010581550333952,#SewaBharati Varanasi will be sending 'Relief Material' &amp; Medical Help. More Info awaited ... #Earthquake,[2]
592011381005651968,TU teaching hospital. #Earthquake injured are getting treatment on open space. Tents are urgent need. http://t.co/Dp2fswi051,[1]
592012112500666370,"@laveypj Ppl in nepal need food, medicines nt bible
how inhumane shameless creature u r..","[1, 3]"
592014627862523904,A Survivor Being Dug Out of Rubble in Nepal Earthquake. Over 1400 killed.  Many Trapped.  Medical Supplies Requested. http://t.co/hyBnIdHBQG,[3]
592014898785230848,Indian power minster Mr. @PiyushGoyal has offered to send engineers and equipment to restore the power grids in Nepal #EarthquakeNepal,"[5, 6]"
592015991573360640,Pm orders massive relief for Nepal. 15000 blankets and 2500 tents ready at Kanpur airport. One C130J aircraft leaves with relief team @ndtv,"[0, 4, 5]"
592016672355061760,".@MSF is also sending 3,000 kits of non-food items and medical kits to those affected by the #earthquake in #Nepal","[0, 2, 5]"
592016806153293825,I am TRAMA  center #doctors and health worker and volunteers doing amazing job #Nepal #earth-quick,[2]
592018368279908352,"We're sending 4 MSF teams, 3000 kits of non-food items &amp; medical supplies to Nepal to assist #NepalEarthquake victims http://t.co/BFJIHWCtqs","[0, 2, 5]"
592018533673869313,Our thoughts are with the people of #Nepal. Large need for surgical care even before the earthquake. @BJSurgery  http://t.co/SbReTlReWS,[3]
592019272903172096,@ajoymukherjee we are working with Ministry of Health to send our doctors and paramedical staff to to Nepal.,[2]
592021167046819841,"20,000 RSS people have gone to aid efforts in Nepal.",[0]
592022312226050049,"Please RT #EarthQuake #Nepal
 Paropkar Ambulance service: +977
4260859",[2]
592022407885496320,"Lalitpur Red Cross ambulance
service: +977 5545666 Please RT #EarthQuake #Nepal",[2]
592022537682427904,"Bishal Bazaar Ambulance service:
+977 4244121 Please RT #EarthQuake #Nepal #IndiaWithNepal",[2]
592022722437218304,"About 50% of houses in #Nepal damaged, essential commodities supply running low &amp; 5,000 tents need to house patients at damaged hospitals.","[1, 6]"
592024069446348800,30 trucks of relief will be sent for #NepalQuakeRelief  with food water and medicine #NepalEarthquake #Nepal @tommorow from India,"[0, 2]"
592024096059305984,"Everybody is sheltering on open sky in Kathmandu tonight, having very poor access to food, water and latrine.",[1]
592024270705860608,"Anyone trapped? Need rescue?
Call +977-9851281363... Police help...
Share it to as many as possible.. #NepalEarthquake #Nepal  #Kathmandu",[0]
