idx,tweets,labels
768422057847746560,"Update: A man is rescued alive from the ruins following an earthquake in Amatrice - Army mobilized,  https://t.co/jWLTWFXlVu","[0, 3]"
768419570923298816,"A @ShelterBox response team will be in Italy within 24 hours, to assess the need for emergency shelter in Italy after today's #earthquake.","[0, 3]"
768458269102702594,Our condolences and sympathy to everyone affected by the #Italy earthquake. We stand ready to help with water purification units.,[0]
768397122458845184,"Tents have arrived in #Amatrice so the 2,500 displaced people have somewhere to spend the night https://t.co/eGEBHwoHS6 #terremoto",[0]
768288931158695937,"Actions does more than thoughts or prayers! Like donating blood, food, water and shelter. #ItalyEarthquake #Italy #Earthquake","[0, 1]"
768479410571706370,Plumbers working 24/7 to restore water service to areas of Italy affected by the earthquake. https://t.co/YAfK4oBmIv,"[0, 2]"
768405087051976704,The Italian gvt waited 10 HOURS to send the army to help the villages where the earthquake hit,"[0, 3]"
768465917068111872,Alice Pettway on working with @AllHands Volunteers and the Ecuador Earthquake Response. https://t.co/nbopQfw9sj https://t.co/PI9qoSko1Y,"[0, 3]"
768412466850177024,We are already trying to gather some stuff for the people affected by the #earthquake #terremoto like food and clothes,[0]
768318222315687936,Search and rescue dogs &amp; 20 ambulances on the ground in #Perugia following #earthquake volunteers from @crocerossa on the scene.,"[0, 3]"
768482309943152640,"Praying for Italy. Devastating... Deadly earthquake rocks central Italy, Army mobilized in rescue https://t.co/10n1Upkq5Z via @nbcnews","[0, 3]"
768482955513716736,Vatican firefighters to help Italy quake: Pope Francis has dispatched one-sixth of the... https://t.co/KKodqOzPzA,[0]
768440302789091328,"Italy earthquake: Army mobilized, dozens buried in Amatrice + Photos https://t.co/6fA30wEhND","[0, 3]"
768455236583362560,"ITALY EARTHQUAKE, AUG. 24, 2016

2 tent cities totaling about 50 tents being set up for quake victims in Italy's... https://t.co/W6B2s5p5TH",[0]
768432971628118017,"ITALY EARTHQUAKE UPDATE:
@ShelterBox to send team to disaster zone where dozens have died
https://t.co/4hW3vzViw6 https://t.co/HbveGhbyJa","[0, 3]"
768502298888724480,"At least 120 dead, 368 injured: Deadly earthquake rocks central Italy, Army mobilized in rescue https://t.co/3DBZGEmG02 via @nbcnews","[0, 2, 3]"
768436223585185792,First aid to victims #Italyquake of partner @CaritasItaliana on its way. How you can support https://t.co/kuPdP8y6cb https://t.co/OAOUQVai0O,"[0, 3]"
768504712102547456,Death toll rises to 84 in Italy - The Italian army has been mobilized to aid earthquake-affected areas. https://t.co/Ez6X9LAnl7,"[0, 3]"
768325132897099776,"Emergency contact information distributed by the Italian Red Cross #Terremoto (@crocerossa ) #Amatrice 
#Earthquake https://t.co/o1l15vnjsZ","[0, 3]"
768425195199721473,#Israel's PM #Netanyahu offers #Italy #aid and rescue help after strong #earthquake. https://t.co/GDeykr4Te8 https://t.co/ZPI9UFml37,"[0, 3]"
768491516776050688,ShelterBox sending relief team to Italy earthquake disaster zone https://t.co/e3tVYymyPO,"[0, 3]"
768358083177418753,Red Cross search and rescue teams help survivors amid rubble after #Italy #Earthquake. @crocerossa @Federation https://t.co/t9Yvzx7wqp,"[0, 3]"
768484394298290177,Pope dispatches Vatican firefighters to help in Italy quake rescue: Pope Francis on Wednesday ... https://t.co/G08FfEpTot (via GMA News),[0]
768427476469051392,"Deadly earthquake rocks central Italy, Army mobilized in rescue https://t.co/Cw7JVW6jeh Our thoughts&amp;prayers with the people in that region","[0, 3]"
768433069384691712,"RT_com: The #Italian Army has been mobilized to help areas affected by the 6.2 earthquake.
https://t.co/JNW4UMyv6Q #News","[0, 3]"
768412294900441088,"#BREAKING: 6.2 #ItalyEarthquake has killed 37
2,500 displaced
#France ready to help army #rescues https://t.co/iUFxblAZAM","[0, 3]"
768392022717759488,"Italy Earthquake: Army Mobilized, 37 Killed https://t.co/r6XbFjbqLH","[0, 3]"
768448747097452545,2 tent cities totaling about 50 tents being set up for quake victims in Italy's central Marche region - ANSA,[0]
768455198264045568,"In Amatrice, Italian @RedCross volunteers continue to support &amp; help those affected by the earthquake @crocerossa https://t.co/7f0gHsQ1Ew","[0, 3]"
768359451397132289,Army is mobilized on earthquake zone #terremoto https://t.co/CJ2k3NZ559,"[0, 3]"
768458869920165888,ShelterBox assessment team en route after 6.2 magnitude earthquake struck central Italy.,"[0, 3]"
